Engineering Thermodynamics & Fluid Mechanics,
Basic Computation & Principles Of Computer Program,
Discrete Structures,
Advanced Mathematical Computation,
Physics-I,
Physical Optics (Optics II ),
Ocular Physiology & Nutrition,
Anatomy (Ocular),
Foundation Course In Food Production - II,
Foundation Course In Food & Beverage Service -II,
Front Office Operation -I,
House Keeping Operation -I,
Food Science & Nutrition,
History Of Architecture-I (Hindu & Buddhist),
Materials And Construction-I,
Medical Terminology,
Hospital Overview,
Bio-Statistics,
Introduction To Journalism 1- Print And New Media,
Introduction To Photography And Design II,
Overview Of World And Indian History,
Electronic Media Planning & Production (Television & Radio),
Print Media,
Writing For Media,
Tourism Product-I( Natural& Religious),
Organizational Behabiour,
Advanced Mathematics And Statistics,
Economics (Macro),
Indian Social Structure And Values & Ethics,
Economics - II,
General Microbiology,
Inheritance Biology,
Population And Evolutionary Biology,
Principles Of Microbiology,
C Programming Language,
"Programmable Networks - Sdn, Nfv",
Travel Agency & Tour Operation Management,
Introduction Of Scm,
Production And Operation Management,
Mathematics –IIA,
Basic Microbiology,
Computer Architecture And Object Oriented Concepts,
Design Foundation- 3,
Design Foundation- 4,
Fashion Illustration,
Pattern Making & Garment Construction I,
Understanding American Cinema & Emergence Of Genre,
Script Writing,
"Script To Screen, Understanding Filmtechnology & Film
Language",
Audio & Video Editing,
Population And Evolutionary Genetics,
History Of Art & Architecture,
Technical Drafting,
Basics Of Still Photography & Videography,
Introduction To Journalism,
Fundamentals Of Pathology,
General Biochemistry,
DIVersity Of Environmental Microflora,
Microbial Physiology & Biochemistry,
Advanced Graphic And Web Design,
Understanding Film Technology And Film Language,
"Graphic Designing, Audio & Video Editing",
Digital Design And Branding,
Study Of Computer Architecture And Organization,
Business Economics - Macro,
Fundamentals Of Economics,
Organisation Behaviour,
Business Mathematics & Statistics,
Introduction To Supply Chain Management,
"Human Resource Management &Marketing
Management",
Inferential Statistics And Application,
Heritage Laws And Regulations,
Foundation And History Of Physical Education,
Contemporary Issues In Sports,
"Basics Of Web Design Using Html, Css, Java Script",
Medical Terminologies,
Medical Record Science I,
Tourism Law And Ethics,
Principles Of Macro Economics,
Introduction To Mutual Funds,
Statistical Methods I,
Basic Chemistry,
Food Science,
Foundation Of Food & Beverage,
Foundation Of Housekeeping,
Yoga Philosophy,
Yog Abhyasa II,
Physics & Chemistry Of Environment,
Environmental Sustainibility Concept And Concern,
"Human Resource Management & Marketing
Management",
Soft-Skill For Business,
Introduction To Statistics And Probability,
Introduction To Programming Using Python,
Linear Mathematics,
Advanced Ms Excel,
"Historical, Contextual & Cultural Studies - II",
"Construction Materials, Techniques & Technology - II",
"Colour, Light & Space For Interiors",
Computer Systems For Facilities Planning & Management,
"Historical, Contextual & Cultural Studies -  II (History Of Art
Movements)",
Textile Studies,
Introduction To Statistical Methods For Psychological Research,
Ecology: Ecosystem Dynamics And Conservation,
Oops And Programming With Java,
Computer Organization And Architecture,
Environment And Ecology,
Elctronics Devices & Circuits,
Digital Electronics,
Electronic Measurement & Instrumentation,
Forms Of Business Organization,
Market And Business Research Methodology For Start-Ups,
Financial Planning And Management,
Interior Materials & Product - I,
History Of Furniture & Detail Study Of Furniture,
"Knowledge On Different Scale, Colour",
"Advanced Laboratory Science Techniques & Testing
Process",
Microbiology - II,
Biochemistry - I,
Inferential Statistics And Applications,
2D Animation (Classical & Digital Animation),
"Graphic Designing , Audio & Video Editing",
English Communication,
Genesis Of Cinema To Pre War (Ww II) Film Movements,
Advanced Image Production – Still & Video,
"Script To Screen; Understanding Film Technology And
Film Language",
Computer Architecture & Object Oriented Concepts,
Human Anatomy II,
Human Physiology II,
Food Production Foundation – II,
Food & Beverage Service Foundation – II,
Environmental Sciences Related To Hotel &Hospitality Industry,
Food Production And Patisserie-II,
Food And Beverage Service-II,
Accommodation  Operations,
Introduction To Accounting,
Nutrition & Food Science,
Essentials Of Pathology,
English Communication & Language Lab,
Fashion Design Process,
Fundamentals Of Patternmaking & Sewing,
Graphic Design,
Web Design,
Enhancing Linguistic Competence & Developing Literacy Skills,
"Heritage Protection, Tour Guide & Developing Personality",
Understandingtourist Behaviour And Segmentation Of Market,
CreatIVe Writing,
Mathematics For Computer Science Part- 1,
Applied Cryptography,
Basics Of Accounting & Finance In Healthcare Management,
Micro Economics In Business,
Introduction To Managerial Economics & Business Analysis,
Principles Of Laboratory Management & Medical Ethics,
Laws And Ethics In Media In Current PerspectIVe,
Principles Of Management & Organizational Behaviour,
Basics Of Accounting & Finance In Healthcaremanagement,
Marco Economics In Business,
Communication  Engg &  Coding Theory,
Mathematics - 3,
Physics  II,
Em Theory & Transmission Lines,
Digital Electronic & Integrated Circuits,
Numerical Methods And Biostatistics,
Data Structure And Algorithms,
Transfer Operation I,
Industrial Microbiology And Enzyme Technology,
Molecular Biology,
Materials Science,
Heat Transfer,
Mass Transfer-I,
Numerical Methods In Chemical Engineering,
Chemical Reaction Engineering-I,
Hass-II,
Applied Thermodynamics,
Fluid Mechanics & Fluid Machines,
Metrology And Instrumentation,
Mechanisms,
Primary Manufacturing Processes,
Entrepreneurship,
Programming With Java,
Numerical Analysis,
Introduction To Fluid Mechanics,
Introduction To Solid Mechanics,
Soil Mechanics -  I,
Environmental Engineering-I,
Surveying & Geomatics,
Concrete Technology,
CIVil Engineering-Societal & Global Impact,
Fluid Mechanics,
Structural Analysis,
Soil Mechanics,
Fabric Manufacturing I,
Textile Chemical Processing I,
Instrumentation And Control In Textile Processing,
Mechanics Of Textile Machine,
Thermal Power Engineering,
Introduction To Vision Science,
Ocular Disease-I (Anterior Segment Disease),
Ophthalmic Lens & Dispensing Optics,
Ophthalmic Instrumentation & Procedure-II,
Visual Optics (Optics IV),
Thermodynamics,
Chemistry & Technology Of Inorganic Tannage,
Analytical Chemistry Of Leather Auxiliaries - I,
Leather Footwear Design & Manufacture,
Histology And Microbiology Of Leather Manufacture-II,
Pharmaceutical Organic Chemistry III,
Physical Pharmaceutics II,
Pharmacology I,
Pharmacognosy And Phytochemistry I,
Industrial Pharmacy I,
Food Production Operation-II,
Food & Beverage Service Operations -II,
House Keeping Management,
Basic Accounting,
Introduction To Management,
Structure - II,
Acoustics,
History Of Architecture-III(Classical & Renaissances),
Materials And Construction-III,
Biosensors & Transducers,
Analytical & Diagnostic Equipments,
Electric Circuits & Network Analysis,
Digital Electronics & Integrated Circuits,
Electrical & Electronic Measurements,
Theory Of Machine,
Metrology & Instrumentation,
Public Health And Health Care Planning,
Support Utility Systems-,
Hospital Inventory Management,
Basic Healthcare Analytics,
Epidemiology And Analysis Of Health Information Data,
"Support, Utility And Clinical Services-II",
Fundamentals Of Research Methodology,
Epidemiology & Analysis Of Health Information Data,
Support & Utility Services I,
Medical Record Science II,
Unit Operation - II (Transfer Processes),
Principles Of Food Preservation,
Numerical Methods & Statistical Techniques,
Professional Ethics & Ipr,
Film Studies II,
"Public Relations, Corporate Communication, And Social Media
Management",
Digital Media And Its Marketing,
Personality Development And Soft Skills,
Digital Media,
Advanced Television Studies,
"Integrated Marketing Communication II (Public Relations &
Corporate Communications)",
Film Studies II + Film Diary,
Understanding Stage Production,
Tourism Product III,
Transport In Travel And Tourism,
Accounting And Finance For Tourism,
Environmental Study,
Life Saving & Fire Fighting Appliances,
Ship Stability Paper-II,
Marine Engineering Automation & Control System Paper-II,
Meteorology Paper-II,
Cargo Handling & Stowage Paper-II,
Shipmaintenance & Emergencies,
Computer Applications,
Production & Materials Management,
Management Information Systems,
Production Management,
Materials Management,
Financial Management I,
Marketing Management I,
Human Resource Management I,
Textile Fabrics Formation,
Chemical Processing Of Textiles-I,
Apparel Production-II,
Mathematics-3,
Unit Operation Of Chemical  Engineering-I,
Structural Analysis-A,
Structural Analysis-B,
Soil Mechanics-A,
Soil Mechanics-B,
Research Methods,
Biofertilzers,
Dbms & Computer Network Concepts (T),
Dbms & Computer Network Concepts,
Microbial Diagnosis In Health Clinics,
Management Of Human Microbial Disease,
"Microbial Quality Control In Food And Pharmaceutical
Industries",
Clinical Immunology,
Organizational Behaviour & Hrm In Tourism,
Foreign Language (French)-II,
"Basics Of Logistics Management & Multimodal Transport
System",
Inventory Management,
Design And Analysis Of Algorithm(Es),
"Introduction To Innovation, Ip Management &
Entrepreneurship",
Computer Organization & Architechture,
Computer Graphics & Animation,
Object Oriented Programming And Design,
Enviromental Scirnce,
Fluid Power & Control,
Electric Machines,
Microprocessor And Microcontrollers,
Electromagnetics And Antenna,
Bioanalytical Tools,
Genetics And Karyotyping,
Advance Front Office & Accommodation Management - I,
Ethical Hacking And Systems Defence,
Statistics For Data Sc - 2,
Ai & Ml-2,
Python For Data Science,
Fashion Merchandising,
Study Of Textile,
Womenswear Designing Project,
Textile & Surface Design Studies,
Computer Graphics - Photoshop,
"Grading & Indian Apparel Pattern Making & Garment
Construction III",
Introduction To World Cinema I,
Advanced Cinematography &Diploma Film Project,
Fundamentals Of Rotoscoping,
Introduction To Tracking,
Fundamentals Of Paint,
Genetics And  Karyotyping,
Colour & Lights In Interior Space,
Ergonomics,
Computer Graphics - Sketch Up,
Basics Of Film Theory & Practice,
Advanced Still Photography & Videography,
Writing Across Media,
Immunology And Serology,
Histotechniques,
Microbial Genetics,
Environmental Microbiology,
Audio And Video Editing For Cinema,
Introduction To 3D  Animation Production,
Conceptualization And Storytelling,
Lighting & Rendering,
Principles Of Software Engineering,
Operating System With Unix,
Oops With Java,
Marketing And Sales Management,
International Financial Markets And Institutions,
Managerial Economics,
QuantitatIVe Methods & Techniques,
Basics Of Logistics Management,
Marketing Management & Metrics,
Tourism Principal & Practices,
Sports Marketing,
Sports Communication,
Support Utility Services- I,
Hospital Inventory & Purchase Management,
Tourism Consumer Behaviour,
Object Oriented Programming Using Java,
Digital Business Strategy,
Management Information System & Erp,
Banking Theory Law And Practice,
Cost And Management Accounting,
Cssd Procedure,
Laboratory Science  [Haematology & Parasitology],
Understaning Psychological Disorder I,
Statistical Methods II,
Biochemistry II,
F&B Service Operations,
Hotel Operations Management,
Narada Bhakti Sutras,
Advanced Yog Abhyasa- II,
Alteration Of Atmosphere And Climate,
BiodIVersity & Conservation Biology,
Waste Management,
Equipment For Medical Imaging,
"Medical Terminology And Patient Care In Diagnostic
Technology",
Clinical Radiography And Positioning,
Accounting Software Packages & Tax Filing,
Indian Banking Structure & Laws,
Corporate Finance,
Investment Banking,
Introduction To Fintech,
Android Development,
Web Server Programming,
Data Visualization And Data DrIVen Decision Making,
Statistical Analysis Using Spss,
Introduction To Regression Analysis,
Generalized Linear Models,
Estimation And Costing,
Introduction To Vastu & Feng Shui,
Integrated Marketing Communication,
Digital Marketing And Content Development,
"Historical, Contextual & Cultural Studies – IV (History Of
Fashion Movements)",
Understanding Psychological Disorders,
Statistical Methods For Psychological Research II,
Operating System With Unix Programming,
Data Science Using Python Tools,
Sop & Process DrIVen Business Culture,
"Automation, Financial Prudence And Cost Control",
Erp & Mis,
"Balance Sheet Study, Cash & Fund Flow Analysis",
"Credit History, Credit Score & Credit Rating",
Urban Transportation Requirement & Planning,
Basic Electrical & Electronics,
Petrol Engine,
Personal Computing Software,
"Computer Hardware, Pc Assembling & Trouble
Shooting",
Data Analysis Using R,
Dynamics (Vfx),
Sound In Cinema,
Post-Production,
"Study Of Epic Puranas, Dharmaśāstra And Arthaśāstra",
History Of Indian- Philosophy,
Classical Meditation Techniques,
Lighting & Compositing; Introduction To Nuke,
Cg Pyro – Techniques,
Roto; Paint; Chroma Keying,
Software Engineering & Software Design With Uml,
Microbiology,
Haematology- II,
Histotechnique,
Principles Of Food Legislation And Food Cost Controls,
Clinical Pharmacology,
Procedural Skills In Critical Care,
Nutrition & Life Cycle,
Diet Therapy I,
Design & Analysis Of Algorithm Using Advanced Data Structure,
Game Development,
Mobile Application Development,
Fashion Marketing,
Project: Menswear Designing B,
Technology Of Garment Manufacturing,
Export Merchandising,
2D Animation Production,
3D Animation Production,
Digital Post Production,
Animation Production Process,
Sustainability & Fashion,
Evolving Policies And Strategies For Healthcare,
"Heritage Protection,Tour Guide & Developing Personality",
Career Strategy,
E-Learning,
Understanding Regional Indian Film,
Story Telling For Audio And Video Production,
Bayesian Statistics,
Block Chain Technology And Practical Use Cases,
Green Marketing,
Corporate Entrepreneurship,
Indian Constituency,
Business Law,
Overview Of Theatre And Folk Media,
Software Engg,
Recombinant Dna Technology,
Plant Biotechnology,
Bioseparation Technology,
Animal Cell Culture And Animal Biotechnology,
Project Management And Entrepreneurship,
Particle & Fluid Particle Processing,
Process Technology & Economics,
Nano Science & Nano Technology,
Polymer Science & Engineering,
Ceramic Technology,
Project Engineering,
Hass- IV,
Design Of Machine Elements,
Manufacturing Technology,
Ic Engines And Gas Turbines,
Machining Principles & Machine Tools,
Machine Design,
Airconditioning And Refrigeration,
Production & Operations Management,
Introduction To Ai And Machine Learning,
Advanced Database And Pl/Sql,
Values And Ethics Of Profession,
Web Technology With Php-Mysql,
Advanced Dbms With Plsql,
Construction Engineering & Management,
"Engineering Economics, Estimation & Costing",
Water Resources Engineering,
Design Of Steel Structures,
Stability Of Slopes,
Foundation Engineering,
Ground Improvement Technique,
Building Construction Practice,
Structural Analysis-II,
Industrial Structures,
Soft Skills And Interpersonal Communication - I,
Introduction To Philosophical Thoughts,
Highway & Transportation Engineering,
Construction Planning And Management,
Prestressed Concrete,
Structural Dynamics And Earthquake Engineering,
Yarn Formation III,
Fabric Manufacturing III,
Textile Chemical Processing III,
Fabric Design,
Digital Control System,
Control System-II,
Systemic Condition & The Eye,
Fundamentals Of Clinical Research Methods,
Specialized Contact Lens,
Applied Optometry And Orthoptics,
Systemic Condition Of The Eye,
Public Health & Community Optometry,
Contact Lens-II,
Applied Optometry & Orthoptics,
Chemistry & Technology Of Post Tanning Operations,
Physical Testing Of Leather,
Mechanics Of Leather Machines And Design Of Machine Parts,
Material Science,
Safety & Occupational Health Of Leather Industry,
Structure – IV,
Building Services – II,
History Of Architecture–V(Contemporary),
Analytical Instrumentation,
Biomedical Digital Signal Processing,
Biomaterials & Tissue Engineering,
Biomechanics & Implants,
Advanced Medical Imaging Techniques,
Artificial Organs & Rehabilitation Engineering,
Laser & Fiber Optics In Medicine,
AutomotIVe Transmission,
Hybrid & Electric Vehicles,
QuantitatIVe Methods For Decision Making,
Electronic Vehicle Management System,
Transport Management & Motor Vehicles Act,
Quality In Healthcare,
Health Insurance,
Biomedical Waste Management,
Nutrition,
Cardio Vascular Diseases,
Emergency Service Department,
Disaster Management Online Courses,
Medical Ethics,
Food Process Technology - III (Milk And Milk Products),
Food Process Technology - IV (Edible Fats And Oils),
"Food Process Technology - V (Bakery, Confectionary And
Extruded Foods)",
Enzyme Technology,
"Plant Maintenance, Safety & Hygiene",
Food AdditIVes,
Database Management System (Dbms),
Environment And Development Communication,
New Media Products And Related Software Programs,
Multimedia Journalism,
Audio Visual Production- Fiction,
Digital Media Graphics,
Tourism Organization And Travel Documentation,
Eco-Tourism,
Travel Agency And Management-II,
Airfare And Ticketing –II,
Tour Package Operation-I,
Voyage Planning & Ecdis,
Naval Architecture Paper-II,
Ship Maneuvering & Collision Prevention Regulations,
Imo & International Convention,
Human Resource Management Development & Leadership,
Marine Environmental Protection,
Project Management & Supply Chain Process,
International Operations & Global Supply Chain,
Supply Chain And Logistics Management,
Human Resource Analytics,
Advertising & Sales Promotion,
Industrial Relations,
Public Service Management,
Financial Management - III,
Marketing Management - III,
Human Resource Management - III,
Health Care Management,
Social Research Methods,
Apparel Quality Assurance,
It & Cad/Cam In Apparel Production,
Technology Of Apparel Machinery And Maintenance,
"Apparel Merchandising , Costing & Production Planning",
Advance Pattern Making And Garment Construction,
Home Furnishing,
Solid & Hazardous Waste Treatment,
Industrial Waste Treatment,
Operations Research (M),
Human Resource Management (Hss),
Materials Handling (Me),
Construction Planning & Management,
Microbial Tech & Biotechnology,
Artificial Intelligence(Ai),
Bio Medical Instrumentation,
Entrepreneurship And Small Business Management,
Strategic Management,
Genetic Modification In Agriculture And Medicine,
Environmental Biotechnology,
Genetic Modification In Agriculture Food And Medical Industry,
Developmental Genetics,
Virology,
Microbes In Sustainable Agriculture And Development,
Biosafety And Intellectual Properties Rights,
Ict & E-Tourism,
"Travel Preparation, Safety And Wellness",
Travel Agency & Tour Operation Management II,
Mice Management II,
Group & Health Insurance.,
Reinsurance & Insurance Marketing.,
